Intel Pentium 4405U,2015 2 Semester
AMD PRO A10-9730B,2016 2 Semester
AMD A4-4300M,2012 1 Semester
AMD A6-5345M,2013 1 Semester
Intel Core i7-7920HQ,2017 1 Semester
AMD A6-5357M,2013 1 Semester
Intel Celeron 2961Y,2013 2 Semester
AMD PRO A6-8500B,2015 2 Semester
Intel Core i5-4308U,2014 2 Semester
Intel Core i7-6498DU,2015 2 Semester
Intel Celeron 807,2012 2 Semester
Intel Core M 5Y70,2014 2 Semester
Intel Celeron 3965Y,2017 1 Semester
Intel Core M 5Y71,2015 1 Semester
Intel Core i7-7Y75,2016 2 Semester
Intel Core i3-2328M,2012 2 Semester
Intel Mobile Pentium N4200,2016 2 Semester
Intel Core i5-3337U,2013 1 Semester
Intel Core i7-3720QM ,2012 1 Semester
Intel Celeron 2950M,2013 2 Semester
Intel Core i7-6600U,2015 2 Semester
Intel Celeron 3965U,2017 1 Semester
Intel Mobile Celeron N3160,2016 1 Semester
Intel Core i7-4650U,2013 1 Semester
Intel Atom x5 Z8350,2016 1 Semester
AMD A8-7410 ,2015 1 Semester
AMD FX-9830P,2016 1 Semester
Intel Core i5-2450M ,2012 1 Semester
Intel Core i5-6198DU,2015 2 Semester
AMD E2-7110,2015 1 Semester
AMD A6-7000,2014 1 Semester
Intel Mobile Celeron N3050,2015 1 Semester
Intel Celeron 3855U,2015 2 Semester
AMD A4-7210,2015 1 Semester
Intel Core i7-5557U,2015 1 Semester
AMD A10-4655M,2012 1 Semester
Intel Core i5-6260U,2015 2 Semester
AMD E2-1800,2012 1 Semester
Intel Core i7-4770HQ,2014 2 Semester
Intel Core i7-4578U,2014 2 Semester
AMD A10-5757M,2013 1 Semester
AMD A10-5745M,2013 1 Semester
AMD A6-7310,2015 1 Semester
AMD A6-4455M,2012 1 Semester
AMD A8-5550M,2013 1 Semester
AMD A8-8600P,2015 1 Semester
Intel Core i5-3439Y,2013 1 Semester
Intel Celeron 2955U,2013 2 Semester
Intel Core i5-3427U,2012 1 Semester
Intel Atom Z3745D,2014 1 Semester
Intel Core i7-3689Y,2013 1 Semester
Intel Core i3-7167U,2017 1 Semester
Intel Core i7-4860HQ,2014 1 Semester
Intel Core i7-5600U,2015 1 Semester
AMD A6-8500P,2015 2 Semester
AMD E2-3800,2014 1 Semester
AMD A10-4657M,2013 1 Semester
Intel Core i5-8350U,2017 2 Semester
Intel Core i7-4750HQ,2013 1 Semester
Intel Core i7-3615QM,2012 1 Semester
Intel Core i7-5700HQ,2015 1 Semester
