Intel Core 2 Duo E6850,2865
Intel Core i5-6300HQ,9430
Intel Xeon L5420,4627
AMD A8-5545M,3005
Intel Core i5-7300HQ,10426
AMD Phenom X4 9750,3994
Intel Core i7-4710MQ,10802
AMD Athlon II X2 260,2996
AMD Athlon X4 760K,5388
AMD A8-7100,3008
Intel Core i3-4130,6516
Intel Core i5-3320M,5538
Intel Core i7-6820HQ,12802
Intel Core i3-4370,7704
Intel Core i5-3570,10271
Intel Core i3-2377M,2655
Intel Core i5-3330,8555
Intel Celeron E1200,1253
Intel Celeron J1900,2945
Intel Core 2 Duo T6400,1873
Intel Core 2 Duo T5550,1654
Intel Core i5-6600,12332
AMD A6-4400M,2169
Intel Core 2 Duo E6600,2275
AMD A4-5000,2203
Intel Xeon E3-1225 v3,10671
Intel Core i3-6300,8481
Intel Celeron 900,1071
AMD Athlon X2 7750 Black Edition,2588
AMD Athlon X4 870K,5972
AMD FX-4100,5126
AMD A6-3420M,3143
Intel Core i3-4360,7556
AMD Athlon II X2 270,3130
Intel Core i5-3210M,5182
Intel Core i7-990X,13840
AMD FX-4130,5196
AMD Phenom II X3 720,4067
AMD Athlon 64 X2 4200+,1723
Intel Pentium B960,2905
Intel Core i5-4690,11617
Intel Core i3-7100T,7749
Intel Core i3-7100U,5507
Intel Core i5-2540M,5107
Intel Xeon E3-1270 v5,14999
Intel Core i7-7800X,23909
Intel Core 2 Quad Q9100,4261
AMD A6-6400K,3089
Intel Pentium 2129Y,1898
Intel Core i7-970,11956
AMD Athlon II X4 610e,3969
Intel Xeon E3-1270 v3,13297
AMD Athlon X2 4850e,1988
Intel Core i7-975,9823
Intel Celeron T3000,1679
AMD A8-5500,4824
AMD A4-4300M,2077
Intel Core i7-7920HQ,14275
Intel Xeon W5590,10214
Intel Pentium B950,2776
Intel Core i5-4440,9871
AMD Phenom X3 8600B,2770
AMD A6-5357M,2450
Intel Core i7-3770T,11018
Intel Core i7-3770S,11513
AMD A4-3320M,2059
Intel Core i5-2430M,4650
Intel Core 2 Duo E8600,3404
Intel Core i5-4308U,6718
AMD Phenom II X3 710,3644
Intel Core i7-3770K,13380
Intel Core i7-640M,4246
Intel Core 2 Duo E6420,2078
Intel Celeron 925,1127
Intel Core i3-8100,12772
Intel Core i7-7Y75,5055
AMD Turion II Mobile M520,2232
AMD FX-6300,7226
Intel Core i7-6600U,6812
Intel Xeon W5580,9851
Intel Pentium B940,2772
AMD Ryzen 3 1300X,10928
AMD Athlon II X3 435,3741
Intel Pentium D 945/950,1630
Intel Core i7-6950X,30205
AMD A8-7650K,5686
Intel Core 2 Duo P9600,2866
Intel Core i5-7500,12405
Intel Core 2 Duo E7500,2852
Intel Core 2 Duo T5900,1918
AMD C-60,864
AMD Phenom II X6 1055T,7575
AMD E2-7110,2675
Intel Core i5-4460,10143
Intel Xeon E3-1505M v6,14639
Intel Xeon E3-1505M v5,12888
AMD A4-7210,2736
Intel Core i5-6400,10806
Intel Core i7-5775R,15045
Intel Core i7-5557U,7047
Intel Core 2 Quad Q9550,5206
AMD A10-4655M,2935
Intel Core i5-6260U,6399
AMD E2-1800,1199
Intel Core 2 Duo E6400,1943
Intel Core i7-4770HQ,11838
Intel Core i3-390M,3606
AMD Athlon II X3 425,3490
AMD C-70,799
Intel Core i7-4578U,6599
Intel Xeon E5345,3805
AMD A10-5745M,3160
AMD Athlon II X3 450,4136
AMD FX-4170,5742
AMD A6-7400K,3216
AMD FX-6350,7927
AMD Athlon II X3 455,4127
Intel Xeon E5-1680 v2,24805
Intel Celeron N2840,1686
Intel Core i5-2520M,4955
AMD A6-6420K,2971
AMD Turion II Ultra M620,2476
Intel Core i7-7820X,29734
Intel Celeron 2955U,2357
Intel Xeon E3-1245 v3,12877
Intel Core i7-930,7862
Intel Xeon X5365,4593
Intel Xeon E3-1245 v5,14730
AMD Athlon II X3 440,3969
AMD FX-6100,6549
AMD Phenom II X4 P960,3135
AMD Athlon 64 X2 6400+,2418
AMD Athlon II X3 445,3851
Intel Core i7-5600U,6296
Intel Core 2 Duo E8400,3102
Intel Core 2 Duo P7450,2123
Intel Xeon E7-4830,11171
Intel Celeron N2830,1602
Intel Xeon L3426,5695
Intel Core i5-2410M,4450
Intel Xeon E5320,2929
AMD E2-3800,1932
Intel Core i5-2435M,4558
Intel Core i3-330UM,1815
Intel Core i7-940,8263
Intel Core i7-4750HQ,10614
Intel Core i7-7700,15853
Intel Xeon E3-1230V2,11640
Intel Core i7-5700HQ,11388
Intel Xeon E5-2623 v3,12885
Intel Xeon X5355,3945
Intel Core i3-2312M,3508
AMD FX-8310,8505
Intel Xeon E3-1270,10672
Intel Atom D2550,1194
Intel Core i7-4870HQ,12868
Intel Pentium 4 550/551,996
Intel Atom 230,534
Intel Core 2 Duo P9400,2374
Intel Celeron N2820,1527
Intel Atom C2750,6087
AMD Athlon 64 X2 5400+,2099
Intel Core i7-950,8313
Intel Core 2 Duo E7300,2450
Intel Celeron N2815,1365
Intel Core i5-6440HQ,10230
AMD PRO A8-8600B,3613
AMD A8-6410,2917
Intel Core i7-2860QM,8981
AMD Phenom II X6 1075T,7239
Intel Core i5-3437U,4723
Intel Xeon E3-1260L v5,14191
AMD Phenom II X4 910,4541
AMD FX-8300,8507
AMD FX-6120,6752
Intel Core i7-3687U,5437
Intel Xeon E5-2678 v3,23590
Intel Core i5-7260U,8159
Intel Xeon E3-1280,11146
Intel Core i7-965,9044
AMD Opteron 3365,6931
AMD Athlon II X3 460,4279
Intel Celeron N2810,1323
Intel Xeon E5540,7418
Intel Core i7-960,8653
Intel Pentium T4200,1784
Intel Xeon X5570,9047
AMD QC-4000,1963
Intel Celeron N2807,1548
Intel Xeon D-1541,7344
AMD Turion II Mobile M500,2154
Intel Core i7-4510U,5424
AMD Phenom II X4 925,5147
AMD Phenom II X4 920,4491
Intel Core i7-4558U,6094
Intel Core 2 Solo U3500,744
Intel Xeon E5-2670,16738
AMD Phenom II X4 B40,5022
AMD Phenom II X4 960T,5603
Intel Core i5-6267U,7480
Intel Core i7-3770,12154
Intel Core i5-2500S,8017
Intel Celeron N2910,2205
AMD Athlon X2 340,2664
Intel Core i7-6900K,26934
Intel Xeon X5680,13337
Intel Core i3-4130T,5792
Intel Celeron G3900,5524
AMD Ryzen 5 1600,17408
Intel Celeron 877,2032
AMD Phenom II X2 521,2932
Intel Core i3-6006U,4671
Intel Xeon E5-2420,10205
Intel Core i5-8400,18746
Intel Xeon E5-2660,15837
Intel Xeon W3690,14119
AMD A6-5200,2705
Intel Xeon E5-2665,15880
AMD Phenom II X4 P920,2872
Intel Core i3-4020Y,3370
Intel Xeon E5-2667,14576
AMD A10 PRO-7350B,3485
Intel Core 2 Duo L9300,1884
AMD Ryzen 7 1700X,21009
Intel Core 2 Extreme Q6850,4951
Intel Core i5-2415M,4707
Intel Celeron P4600,2275
Intel Core i5-2500K,10820
Intel Core i7-3840QM,11783
Intel Core i5-5287U,6680
Intel Core i7-3960X,18705
Intel Core i7-8550U,13150
Intel Xeon X5670,12390
Intel Xeon X5677,10412
Intel Xeon X5675,12699
AMD Phenom II X2 511,3304
Intel Celeron 887,2159
Intel Core i9-7900X,33521
Intel Core i7-4702HQ,9564
Intel Xeon E5-2650,14678
Intel Core i7-4900MQ,11950
Intel Xeon X5667,10183
Intel Celeron 420,854
Intel Core i3-380UM,1959
Intel Xeon W3680,13422
Intel Core i7-4610M,7281
AMD Turion II Ultra M600,2590
AMD E2-3000M,1875
AMD Phenom X3 8650,3075
Intel Xeon X5660,11782
Intel Core i5-4260U,4972
Intel Core i7-2677M,4227
Intel Xeon E5-2640,13156
Intel Core 2 Duo T7250,1762
Intel Celeron 430,835
Intel Xeon E5-2680 v2,22528
Intel Core i7-4700EQ,10407
Intel Xeon E5-2680 v3,8143
Intel Core i5-7200U,6396
Intel Xeon E5-2680 v4,29467
Intel Core i7-3720QM,10508
Intel Xeon E5-2643,11615
Intel Core i5-5350U,5916
AMD A6-6310,2778
Intel Core 2 Duo T8100,2066
Intel Xeon E3-1280 v3,12283
Intel Core 2 Duo E8300,2811
AMD E1-7010,1175
Intel Core m5-6Y57,5952
Intel Xeon W3670,11701
Intel Core 2 Duo L7100,1101
Intel Xeon E5-2407,6202
Intel Core i3-350M,2950
Intel Core i7-920,7498
Intel Xeon X5650,11906
AMD Athlon 64 X2 3800+,1609
Intel Core M-5Y70,4685
AMD Phenom II X4 N950,3685
Intel Celeron 440,1033
Intel Pentium G4500,6600
AMD Turion X2 Ultra Mobile ZM-80,1770
AMD Turion X2 Ultra Mobile ZM-82,1698
Intel Xeon E5-2630,12045
Intel Core 2 Duo E8135,2880
AMD Athlon 64 3800+,1128
Intel Xeon E5-2670 v2,21081
Intel Xeon E5-2670 v3,23294
Intel Core i5-6287U,7984
Intel Xeon X3220,4152
Intel Xeon X3460,7794
Intel Core i5-7267U,7768
AMD Phenom II X2 565 Black Edition,3663
AMD Turion II Neo N40L,1690
AMD Ryzen 5 1400,11980
Intel Xeon E5-2609 v3,9355
Intel Xeon E5-2609 v2,7109
Intel Core 2 Duo P8700,2436
AMD Phenom II X4 B95,5673
Intel Pentium G3420,5274
Intel Xeon E5-2620,10796
AMD Phenom II X4 B97,5866
Intel Celeron 450,992
AMD A12-9800,6494
Intel Atom D510,1015
Intel Xeon X3450,7313
Intel Core i7-5950HQ,13649
AMD FX - 770K,5259
AMD C-50,794
Intel Core 2 Quad Q6700,4365
Intel Pentium SU4100,1363
Intel Xeon X3210,3757
Intel Atom D525,1103
AMD Phenom II X4 N970,3790
Intel Pentium N3700,2808
AMD Sempron 3850,2224
AMD Athlon II X4 559,5910
Intel Xeon E5-2620 v2,11321
Intel Pentium 2127U,2720
Intel Xeon E5-2609,6604
Intel Xeon E3-1276 v3,13769
Intel Xeon X3440,7115
Intel Core i3-5020U,4523
Intel Xeon E3-1220 v3,10936
Intel Xeon E3-1220 v2,9831
AMD A8-3530MX,3678
Intel Xeon E5-2620 v4,15296
Intel Xeon E5-2620 v3,14405
AMD Phenom X3 8450,2962
Intel Atom x5-Z8350,2189
AMD FX-9590,11050
Intel Xeon E5-2603,4929
Intel Xeon W-2150B,30512
AMD Phenom X4 9600B,3566
Intel Xeon E5-1620 v3,14172
Intel Core M-5Y10a,3808
Intel Core i3-370M,3093
Intel Xeon E5-1620 v2,12830
Intel Core i7-3820QM,10476
Intel Core M-5Y10c,4268
Intel Xeon E5-1620 v4,14099
Intel Core i7-3635QM,8077
Intel Xeon X3430,5827
Intel Core i5-8600K,22070
Intel Xeon E3-1545M v5,14316
Intel Core i7-2600,10813
AMD A6-3670,4707
Intel Pentium G2120,4675
Intel Core i5-4460S,9372
Intel Atom N450,622
Intel Core 2 Duo T6570,1958
Intel Core i3-3110M,4214
Intel Pentium 3805U,3169
Intel Core 2 Duo T9600,2850
Intel Pentium D 820/915/920,1449
Intel Atom N455,593
Intel Pentium P6200,2376
AMD A8-5600K,5267
AMD Phenom X4 9650,3895
Intel Core i3-4005U,3501
Intel Pentium G3460,5666
Intel Core i5-4460T,7369
Intel Core i5-680,5273
Intel Pentium G2130,4693
Intel Xeon E5-2660 v2,18291
Intel Celeron G555,2746
Intel Core 2 Duo U9400,1534
AMD A10-9700,5655
AMD A10-6790K,5425
Intel Core i5-2390T,5439
AMD Athlon II X2 280,3021
Intel Celeron E3200,2057
Intel Celeron N3160,2856
Intel Core i5-4570R,9961
Intel Core i5-4570S,10452
AMD Phenom II X6 1090T Black Edition,7861
Intel Pentium G3220,4805
Intel Core 2 Duo T5250,1415
AMD FX-9370,10420
Intel Xeon E3-1230 v3,12882
Intel Xeon E3-1230 v5,14183
Intel Celeron U3600,1593
Intel Core M-5Y10,4326
Intel Pentium G4560,7531
Intel Core i5-670,4865
Intel Core i5-4570T,6616
AMD E2-3200,2112
Intel Atom x7-Z8750,3071
AMD Athlon 64 X2 3600+,1628
Intel Pentium 987,2078
Intel Celeron N3150,2632
Intel Core i3-2350M,3721
Intel Atom Z3775,3046
Intel Pentium G3430,5588
AMD Phenom II X4 N930,3463
Intel Xeon E5-2637 v2,15014
Intel Core 2 Duo T7400,2107
Intel Xeon E5-2637 v4,15237
Intel Pentium E5800,2679
Intel Xeon E5-1650 v4,20041
